,年數,月,前後,競賽名稱,階級,距離,分類,跑道,場地,行進方向,粉絲増加（人）
新手級,第１年,7月,後,中京新手級錦標賽,OP,1600,一哩,草地,中京,逆,1600
新手級,第１年,7月,後,函館新手級錦標賽,G3,1200,短距離,草地,函館,順,3100
新手級,第１年,8月,前,波斯菊賞,OP,1800,一哩,草地,札幌,順,1600
新手級,第１年,8月,前,鳳凰賞,OP,1200,短距離,草地,小倉,順,1600
新手級,第１年,8月,前,大麗花賞,OP,1400,短距離,草地,新潟,逆・内,1600
新手級,第１年,8月,後,三葉草賞,OP,1500,一哩,草地,札幌,順,1600
新手級,第１年,8月,後,新潟新手級錦標賽,G3,1600,一哩,草地,新潟,逆・外,3100
新手級,第１年,9月,前,野地菊錦標賽,OP,1800,一哩,草地,阪神,順・外,1600
新手級,第１年,9月,前,札幌新手級錦標賽,G3,1800,一哩,草地,札幌,順,3100
新手級,第１年,9月,前,小倉新手級錦標賽,G3,1200,短距離,草地,小倉,順,3100
新手級,第１年,9月,前,鈴蘭賞,OP,1200,短距離,草地,札幌,順,1600
新手級,第１年,9月,前,紫菀賞,Pre-OP,1600,一哩,草地,中山,順・外,1000
新手級,第１年,9月,後,美人蕉錦標賽,OP,1200,短距離,草地,中山,順・外,1600
新手級,第１年,9月,後,桔梗錦標賽,OP,1400,短距離,草地,阪神,順・内,1600
新手級,第１年,9月,後,芙蓉錦標賽,OP,2000,中距離,草地,中山,順・内,1600
新手級,第１年,9月,後,番紅花賞,Pre-OP,1600,一哩,草地,中山,順・外,1000
新手級,第１年,10月,前,沙烏地阿拉伯錦標賽,G3,1600,一哩,草地,東京,逆,3300
新手級,第１年,10月,前,紅葉錦標賽,OP,1400,短距離,草地,京都,順・外,1600
新手級,第１年,10月,前,龍膽賞,Pre-OP,1400,短距離,草地,京都,順・外,1000
新手級,第１年,10月,前,紫菊賞,Pre-OP,2000,中距離,草地,京都,順・内,1000
新手級,第１年,10月,前,懸鈴木賞,Pre-OP,1600,一哩,沙地,東京,逆,1000
新手級,第１年,10月,後,阿提米絲錦標賽,G3,1600,一哩,草地,東京,逆,2900
新手級,第１年,10月,後,常春藤錦標賽,OP,1800,一哩,草地,東京,逆,1700
新手級,第１年,10月,後,萩錦標賽,OP,1800,一哩,草地,京都,順・外,1700
新手級,第１年,10月,後,撫子賞,Pre-OP,1400,短距離,沙地,京都,順,1000
新手級,第１年,11月,前,黄菊賞,Pre-OP,2000,中距離,草地,京都,順・内,1000
新手級,第１年,11月,前,京王盃新手錦標賽,G2,1400,短距離,草地,東京,逆,3800
新手級,第１年,11月,前,每日盃新手錦標賽,G2,1600,一哩,草地,京都,順・外,3800
新手級,第１年,11月,前,幻想錦標賽,G3,1400,短距離,草地,京都,順・外,2900
新手級,第１年,11月,前,福島新手級錦標賽,OP,1200,短距離,草地,福島,順,1600
新手級,第１年,11月,前,百日草特別賽,Pre-OP,2000,中距離,草地,東京,逆,1000
新手級,第１年,11月,前,金木犀特別賽,Pre-OP,1800,一哩,草地,福島,順,1000
新手級,第１年,11月,前,酢漿草賞,Pre-OP,1400,短距離,沙地,東京,逆,1000
新手級,第１年,11月,後,日本金松賞,Pre-OP,1600,一哩,草地,中京,逆,1000
