月份,排名,條款,條款中文說明,件數
1月,1,第56條,違規停車或停車不依規定繳費,824
1月,2,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,559
1月,3,第55條,未依規定臨時（併排）停車,502
1月,4,第42條,不依規定使用燈光者,496
1月,5,第27條,汽車行駛於應繳費之公路（高速公路）經催繳不依規定繳費,336
2月,1,第56條,違規停車或停車不依規定繳費,712
2月,2,第55條,未依規定臨時（併排）停車,401
2月,3,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,369
2月,4,第42條,不依規定使用燈光者,329
2月,5,第27條,汽車行駛於應繳費之公路（高速公路）經催繳不依規定繳費,304
3月,1,第56條,違規停車或停車不依規定繳費,1493
3月,2,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,726
3月,3,第55條,未依規定臨時（併排）停車,715
3月,4,第42條,不依規定使用燈光者,586
3月,5,第27條,汽車行駛於應繳費之公路（高速公路）經催繳不依規定繳費,468
4月,1,第56條,違規停車或停車不依規定繳費,1114
4月,2,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,500
4月,3,第55條,未依規定臨時（併排）停車,499
4月,4,第42條,不依規定使用燈光者,427
4月,5,第48條,轉彎或變換車道不依規定,309
5月,1,第56條,違規停車或停車不依規定繳費,1214
5月,2,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,551
5月,3,第55條,未依規定臨時（併排）停車,540
5月,4,第42條,不依規定使用燈光者,526
5月,5,第27條,汽車行駛於應繳費之公路（高速公路）經催繳不依規定繳費,321
6月,1,第56條,違規停車或停車不依規定繳費,1262
6月,2,第42條,不依規定使用燈光者,567
6月,3,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,515
6月,4,第55條,未依規定臨時（併排）停車,504
6月,5,第27條,汽車行駛於應繳費之公路（高速公路）經催繳不依規定繳費,473
7月,1,第56條,違規停車或停車不依規定繳費,1272
7月,2,第27條,汽車行駛於應繳費之公路（高速公路）經催繳不依規定繳費,494
7月,3,第42條,不依規定使用燈光者,454
7月,4,第55條,未依規定臨時（併排）停車,428
7月,5,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,349
8月,1,第56條,違規停車或停車不依規定繳費,1045
8月,2,第42條,不依規定使用燈光者,556
8月,3,第55條,未依規定臨時（併排）停車,471
8月,4,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,423
8月,5,第53條,闖紅燈或紅燈右轉,342
9月,1,第56條,違規停車或停車不依規定繳費,888
9月,2,第42條,不依規定使用燈光者,547
9月,3,第55條,未依規定臨時（併排）停車,461
9月,4,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,400
9月,5,第48條,轉彎或變換車道不依規定,303
10月,1,第56條,違規停車或停車不依規定繳費,1039
10月,2,第42條,不依規定使用燈光者,512
10月,3,第55條,未依規定臨時（併排）停車,396
10月,4,第33條,行駛於高、快速公路之相關違規。例如超速、未依規定變換車道等,360
10月,5,第53條,闖紅燈或紅燈右轉,297
