項次,場所名稱,場所地址,違規項目,檢查日期,場所用途
1,踩凳子餐飲商行,臺北市萬華區貴陽街2段49號1樓,防火管理,111年10月31日,酒吧
2,柒星茶藝小吃店,臺北市萬華區桂林路104號1樓,防火管理,111年10月25日,KTV
3,歌頌茶坊,臺北市萬華區西園路1段51號1樓,防火管理,111年10月11日,KTV
4,及時雨休閒會館,臺北市中山區民生東路2段41號,防焰物品,111年10月28日,指壓按摩
5,美麗華大廈,臺北市松山區民族東路665號,消防設備,111年10月26日,集合住宅
6,華南花園別墅,臺北市松山區延吉街46巷2號,消防設備,111年10月25日,集合住宅
7,華南花園別墅梅蘭竹棟,臺北市松山區延吉街30巷1號,消防設備,111年10月21日,集合住宅
8,世紀金融廣場大樓,臺北市信義區信義路4段456號,消防設備,111年9月6日,辦公大樓
9,臺北市信義區興隆整宅,臺北市信義區基隆路1段350號,消防設備,111年8月16日,集合住宅
10,千里華廈,臺北市萬華區環河南路2段127號,消防設備,111年8月1日,集合住宅
11,明園大廈,臺北市內湖區內湖路1段683號,消防設備,111年5月18日,集合住宅
