營運日,星期,總運量
111/9/1,四,"1,766,962"
111/9/2,五,"1,806,379"
111/9/3,六,"1,066,687"
111/9/4,日,"925,773"
111/9/5,一,"1,794,283"
111/9/6,二,"1,857,057"
111/9/7,三,"1,866,515"
111/9/8,四,"1,944,981"
111/9/9,五,"1,275,234"
111/9/10,六,"1,121,754"
111/9/11,日,"997,994"
111/9/12,一,"1,766,499"
111/9/13,二,"1,820,103"
111/9/14,三,"1,873,456"
111/9/15,四,"1,885,709"
111/9/16,五,"2,043,483"
111/9/17,六,"1,556,973"
111/9/18,日,"1,251,763"
111/9/19,一,"1,762,494"
111/9/20,二,"1,829,733"
111/9/21,三,"1,853,055"
111/9/22,四,"1,858,767"
111/9/23,五,"2,000,698"
111/9/24,六,"1,497,079"
111/9/25,日,"1,238,210"
111/9/26,一,"1,788,687"
111/9/27,二,"1,846,612"
111/9/28,三,"1,857,132"
111/9/29,四,"1,862,052"
111/9/30,五,"2,016,540"
